"species.id","species.commonName","year","number","numberPerHour","numberPerHourMean","hours","reportingCounts","reportingObservers","totalCounts","totalObservers"
"tuftit","Tufted_Titmouse",5,0,0.0,0.0,0.0,0,0,1,1
"tuftit","Tufted_Titmouse",10,0,0.0,0.0,0.0,0,0,1,1
"tuftit","Tufted_Titmouse",11,8,0.0,0.0,0.0,3,3,4,5
"tuftit","Tufted_Titmouse",12,2,0.0,0.0,0.0,1,1,4,4
"tuftit","Tufted_Titmouse",13,13,0.0,0.0,0.0,3,4,3,4
"tuftit","Tufted_Titmouse",14,13,0.0,0.0,0.0,2,2,2,2
"tuftit","Tufted_Titmouse",15,6,0.0,0.0,0.0,1,1,1,1
"tuftit","Tufted_Titmouse",16,11,0.0,0.0,0.0,1,3,2,4
"tuftit","Tufted_Titmouse",17,30,0.0,0.0,0.0,3,7,3,7
"tuftit","Tufted_Titmouse",18,18,0.0,0.0,0.0,1,2,1,2
"tuftit","Tufted_Titmouse",19,17,0.0,0.0,0.0,1,3,1,3
"tuftit","Tufted_Titmouse",20,7,0.0,0.0,0.0,1,1,1,1
"tuftit","Tufted_Titmouse",21,5,0.0,0.0,0.0,2,4,2,4
"tuftit","Tufted_Titmouse",22,20,1.2552552552552552,1.2252981714709497,17.2,3,4,3,4
"tuftit","Tufted_Titmouse",23,29,0.0,0.0,0.0,4,5,5,6
"tuftit","Tufted_Titmouse",24,43,0.0,0.0,0.0,5,9,5,9
"tuftit","Tufted_Titmouse",25,15,0.0,0.0,0.0,3,6,3,6
"tuftit","Tufted_Titmouse",26,29,0.0,0.0,0.0,3,5,4,8
"tuftit","Tufted_Titmouse",27,38,0.0,0.0,0.0,4,7,4,7
"tuftit","Tufted_Titmouse",28,50,0.0,0.0,0.0,5,8,5,8
"tuftit","Tufted_Titmouse",29,23,0.0,0.0,0.0,4,7,4,7
"tuftit","Tufted_Titmouse",30,22,0.0,0.0,0.0,3,6,3,6
"tuftit","Tufted_Titmouse",31,7,0.0,0.0,0.0,1,3,2,7
"tuftit","Tufted_Titmouse",32,25,0.0,0.0,0.0,4,4,4,4
"tuftit","Tufted_Titmouse",33,66,0.0,0.0,0.0,5,9,5,9
"tuftit","Tufted_Titmouse",34,73,0.0,0.0,0.0,5,15,5,15
"tuftit","Tufted_Titmouse",35,105,0.0,0.0,0.0,5,12,6,14
"tuftit","Tufted_Titmouse",36,89,0.0,0.0,0.0,6,15,6,15
"tuftit","Tufted_Titmouse",37,98,0.0,0.0,0.0,4,9,4,9
"tuftit","Tufted_Titmouse",38,51,0.0,0.0,0.0,4,12,4,12
"tuftit","Tufted_Titmouse",39,32,0.0,0.0,0.0,4,14,4,14
"tuftit","Tufted_Titmouse",40,125,0.7454212454212454,0.7331079030640313,23.5,9,36,9,36
"tuftit","Tufted_Titmouse",41,105,1.5476370035193565,1.437813805198933,67.3,9,33,9,33
"tuftit","Tufted_Titmouse",42,127,0.7244975921031247,0.6802426982259904,60.8,8,28,8,28
"tuftit","Tufted_Titmouse",43,73,1.1349206349206349,0.8872855804003275,19.0,7,21,7,21
"tuftit","Tufted_Titmouse",44,136,1.2848087098087098,1.1170354211432862,59.0,8,27,9,28
"tuftit","Tufted_Titmouse",45,99,1.4670007217811338,1.3348519732473785,67.8,8,40,8,40
"tuftit","Tufted_Titmouse",46,96,1.317202418178028,1.1433800291058833,62.5,6,22,6,22
"tuftit","Tufted_Titmouse",47,223,1.8398794542218204,1.4375423532067202,189.0,11,45,11,45
"tuftit","Tufted_Titmouse",48,243,1.4558862433862434,1.0547805230514682,114.5,12,48,14,52
"tuftit","Tufted_Titmouse",49,285,1.8076656484962406,1.5730161311641984,133.5,14,56,14,56
"tuftit","Tufted_Titmouse",50,309,1.0127227607456764,0.951990244185724,161.0,13,67,13,67
"tuftit","Tufted_Titmouse",51,319,1.151125654283549,1.041278953672053,208.6,13,74,13,74
"tuftit","Tufted_Titmouse",52,405,1.8447181271309148,1.7249394741219093,239.8,13,55,13,55
"tuftit","Tufted_Titmouse",53,362,0.9535603440983402,0.8531898906220938,322.6,14,90,15,91
"tuftit","Tufted_Titmouse",54,625,1.124298501384375,0.9429729209787164,507.0,18,112,19,115
"tuftit","Tufted_Titmouse",55,562,0.913461258527048,0.8106422220385707,667.0,18,144,19,146
"tuftit","Tufted_Titmouse",56,666,0.95062382068499,0.8278227612789671,592.1,18,120,19,122
"tuftit","Tufted_Titmouse",57,493,0.8976707041854197,0.7811883086774356,508.3,15,103,16,106
"tuftit","Tufted_Titmouse",58,803,1.2021387321347523,1.0682477126099545,657.8,20,160,20,160
"tuftit","Tufted_Titmouse",59,840,1.503381729554707,1.290830862656742,541.5,16,151,16,151
"tuftit","Tufted_Titmouse",60,972,1.2235250713306391,1.1037951887373114,690.0,18,187,19,192
"tuftit","Tufted_Titmouse",61,1031,1.431038364926824,1.2817809273268568,699.0,18,176,19,189
"tuftit","Tufted_Titmouse",62,818,1.0768455310602265,0.9911384293849519,654.5,19,188,20,190
"tuftit","Tufted_Titmouse",63,812,1.198601526912681,1.135767850315671,659.0,16,179,16,179
"tuftit","Tufted_Titmouse",64,787,1.0419625681759903,0.9841363532136171,705.0,16,173,16,173
"tuftit","Tufted_Titmouse",65,1202,1.2791409385217671,1.1382391562231133,842.0,18,227,18,227
"tuftit","Tufted_Titmouse",66,1248,1.2035164453984393,1.0993067971539718,900.0,21,239,21,239
"tuftit","Tufted_Titmouse",67,1266,1.2880123140124768,1.1746209005847708,1059.0,21,276,22,283
"tuftit","Tufted_Titmouse",68,1009,1.0786871594410978,0.9519915249788441,1001.0,22,272,22,272
